;tramo;tipo_tramo;punto_idx;punto_id;x_cm;y_cm;z_cm;dist_seg_cm;dist_acum_m;diametro_m_excel;escenario_marea;P_2_BC_Caso_1;P_2_BC_Caso_2
59;B-C;cerrado;37;Punto 37;-14697,3;1075,9;3281,0;550,072304338258;328,3918397553413;0,2086;Base;206768,61888920172;30940,9692355271
60;B-C;cerrado;38;Punto 38;-14148,4;1067,5;3246,5;550,0472888761471;333,8923126441027;0,2086;Base;208950,49271156947;30449,44806035932
61;B-C;cerrado;39;Punto 39;-13724,5;1064,0;2896,0;550,0488251055534;339,3928008951582;0,2086;Base;210639,35074510542;29464,90362982339
62;B-C;cerrado;40;Punto 40;-13587,5;1059,6;2363,3;550,0524065941352;344,8933249610996;0,2086;Base;212418,7720882964;28570,905101832454
63;B-C;cerrado;41;Punto 41;-13744,0;1041,6;-130,0;2498,271630547807;369,8760412665777;0,2086;Base;220301,039375288;24310,82205884081
64;B-C;cerrado;42;Punto 42;-13946,5;1033,8;-641,7;550,3671320128047;375,3797125867057;0,2086;Base;222423,32072710074;23758,1538794281
65;B-C;cerrado;43;Punto 43;-14411,1;1023,8;-936,7;550,4345192663704;380,8840577793694;0,2086;Base;224767,12154385747;23426,677642671377
66;B-C;cerrado;44;Punto 44;-14960,3;1015,5;-902,2;550,3451462491505;386,3875092418609;0,2086;Base;226939,65758146343;22924,3710064654
67;B-C;cerrado;45;Punto 45;-15384,4;1012,0;-551,5;550,3304007593987;391,8908132494549;0,2086;Base;228629,19988611536;21939,14230481347
68;B-C;cerrado;46;Punto 46;-15521,5;1008,6;-18,5;550,3607634997248;397,3944208844522;0,2086;Base;230308,75435388513;20943,778194243743
69;B-C;cerrado;47;Punto 47;-15365,0;989,6;2474,9;2498,378836365694;422,3782092481091;0,2086;Base;238291,89839611057;16784,050854018264
70;B-C;cerrado;48;Punto 48;-15162,6;981,8000000000001;2986,3;550,0514157785615;427,8787234058947;0,2086;Base;240413,41251007083;16232,149912457904
71;B-C;cerrado;49;Punto 49;-14698,3;971,9;3281,0;550,0187178633114;433,3789105845278;0,2086;Base;242746,14124408772;15891,622512641095
72;B-C;cerrado;50;Punto 50;-14149,4;963,4999999999999;3246,6;550,0410257426255;438,8793208419541;0,2086;Base;244927,99984610075;15400,116557828116
73;B-C;cerrado;51;Punto 51;-13725,5;959,9999999999999;2896,0;550,1125521200181;444,3804463631543;0,2086;Base;246617,01274585008;14415,417261078726
74;B-C;cerrado;52;Punto 52;-13588,5;955,6;2363,3;550,0524065941352;449,8809704290957;0,2086;Base;248396,43408904105;13521,418733087787
75;B-C;cerrado;53;Punto 53;-13650,0;952,8000000000001;1383,2;982,0316186355714;459,7012866154514;0,2086;Base;251064,64381057105;11416,659893957767
76;B-C;cerrado;54;Punto 54;-13655,7;908,6;603,9;780,5732636979056;467,5070192524304;0,2086;Base;257408,79136225663;13966,986985872154
77;B-C;cerrado;55;Punto 55;-13504,5;839,6;-158,7;780,5006085840037;475,3120253382705;0,2086;Base;266248,0448303067;19012,773119822097
78;B-C;cerrado;56;Punto 56;-13188,6;800,5;-633,5;571,6263289947375;481,0282886282179;0,2086;Base;271571,2771904457;21557,72986748312
79;B-C;cerrado;57;Punto 57;-12682,9;766,1999999999999;-897,6;571,539841130958;486,7436870395275;0,2086;Base;276411,34147289;23619,93889443889
80;B-C;cerrado;58;Punto 58;-12113,7;748,3;-848,8;571,5684473446717;492,4593715129742;0,2086;Base;279601,3691171286;24031,97224840024
81;B-C;cerrado;59;Punto 59;-10613,0;732,1;-224,1;1625,611583374086;508,7154873467151;0,2086;Base;285181,8322518269;21711,47493330195
82;B-C;cerrado;60;Punto 60;-10036,5;729,1;15,8;624,4303483976415;514,9597908306915;0,2086;Base;287001,1404404695;20495,864118659367
83;B-C;cerrado;61;Punto 61;-9944,2;747,8;54,3;101,74099468749;515,9772007775664;0,2086;Base;285366,8628511522;18367,09474337665
84;B-C;cerrado;62;Punto 62;-9883,0;825,1;79,7;101,8130148851319;516,9953309264178;0,2086;Base;277836,6492623287;10342,039328800154
85;B-C;cerrado;63;Punto 63;-9793,3;966,1999999999999;117,1;171,3302658609975;518,7086335850278;0,2086;Base;264056,0576208377;-4271,268853508816
